IT8.7/1
ORIGINATOR "LaserSoft Imaging AG"
DESCRIPTOR "Fuji Provia Professional Film, L* a* b* (light D50, viewing angle 2)"
MANUFACTURER "LaserSoft Imaging AG - http://www.silverfast.com"
CREATED "January 3, 2013"
PROD_DATE " 2013:01"
SERIAL "E130102 Batch Average Data"
MATERIAL "Fuji Provia Professional Film"
NUMBER_OF_FIELDS 7
BEGIN_DATA_FORMAT
SAMPLE_ID   XYZ_X   XYZ_Y   XYZ_Z          LAB_L   LAB_A   LAB_B
END_DATA_FORMAT
NUMBER_OF_SETS 288
BEGIN_DATA
A1           2.69    2.33    1.60          17.14    8.84    3.43
A2           3.42    2.42    1.28          17.54   19.76    8.03
A3           4.11    2.38    1.09          17.38   30.73   10.20
A4           8.93    4.42    1.75          25.00   49.45   15.28
A5          10.84    9.28    7.36          36.52   14.97    1.20
A6          13.33    9.48    6.28          36.89   30.61    6.42
A7          15.45    9.45    5.51          36.83   43.92    9.91
A8          16.68    8.30    4.06          34.61   60.45   13.97
A9          32.34   31.05   26.10          62.55    8.85   -0.85
A10         34.11   31.07   25.45          62.57   14.99    0.33
A11         35.79   30.89   23.90          62.41   21.38    2.85
A12         36.75   27.46   19.15          59.40   37.53    7.08
A13         64.48   68.10   58.70          86.06   -2.62   -2.59
A14         66.22   68.21   58.85          86.11    1.02   -2.64
A15         66.62   69.48   56.52          86.74   -0.79    0.83
A16         63.03   66.10   55.70          85.04   -1.58   -1.24
A17         65.66   67.79   56.16          85.90    0.69   -0.25
A18         64.10   67.90   56.20          85.96   -3.06   -0.19
A19         63.40   66.31   58.17          85.15   -1.20   -3.60
A20          3.96    2.88    1.29          19.58   19.12   11.41
A21          2.57    2.14    1.23          16.21   10.65    6.23
A22          1.86    1.73    1.27          13.99    4.80    1.98
B1           3.96    3.57    2.03          22.19    7.84    7.70
B2           4.60    3.57    1.26          22.18   16.78   16.18
B3           5.45    3.63    0.79          22.39   26.41   23.66
B4           8.69    4.22    0.32          24.36   50.20   35.89
B5          14.29   12.62    7.75          42.19   13.83    9.42
B6          16.38   12.50    5.04          42.00   26.99   21.23
B7          18.31   12.46    3.17          41.93   37.68   32.40
B8          17.72    9.12    0.61          36.21   59.24   50.98
B9          37.59   36.93   29.44          67.23    6.54    1.64
B10         38.53   36.61   26.67          66.98   10.62    5.80
B11         40.54   36.96   24.94          67.25   15.77    9.31
B12         42.04   34.92   17.96          65.69   27.08   20.53
B13         57.77   63.75   57.46          83.83   -8.78   -5.15
B14         61.89   60.59   56.79          82.15    8.24   -7.36
